"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"0","0.24855764210224152","0.2484814077615738","0.24864649772644043","96","96","96","0.24854766204953194","0.24849845468997955","0.24860522150993347","96","96","96","0.24849895015358925","0.24846743047237396","0.2485329508781433","39","39","39"
"1","0.2485998123884201","0.2484133541584015","0.248825341463089","192","192","192","0.2485826201736927","0.24853771924972534","0.24863538146018982","192","192","192","0.24849868193268776","0.24845701456069946","0.24855326116085052","78","78","78"
"2","0.24869317188858986","0.24847489595413208","0.24892258644104004","288","288","288","0.24865441769361496","0.24860835075378418","0.2486897110939026","288","288","288","0.248552605509758","0.24847203493118286","0.24863767623901367","117","117","117"
"3","0.2487851195037365","0.24854500591754913","0.24909332394599915","384","384","384","0.24870773032307625","0.24861901998519897","0.24878814816474915","384","384","384","0.24856102466583252","0.24848103523254395","0.24864092469215393","156","156","156"
"4","0.24885616451501846","0.24857285618782043","0.24920260906219482","480","480","480","0.2488185316324234","0.2486763894557953","0.2489011138677597","480","480","480","0.24857240542769432","0.2485359162092209","0.24862322211265564","195","195","195"
"5","0.24893524125218391","0.24860352277755737","0.24927642941474915","576","576","576","0.2489226907491684","0.24883246421813965","0.24899204075336456","576","576","576","0.24860027432441711","0.24856555461883545","0.2486410290002823","234","234","234"
"6","0.249009657651186","0.24876147508621216","0.2493669092655182","672","672","672","0.2489827796816826","0.24888905882835388","0.2490825355052948","672","672","672","0.2486313134431839","0.24856141209602356","0.24867182970046997","273","273","273"
"7","0.2490483857691288","0.24881288409233093","0.24940089881420135","768","768","768","0.24909766763448715","0.249031662940979","0.24915657937526703","768","768","768","0.2486753799021244","0.24862882494926453","0.24871182441711426","312","312","312"
"8","0.24904682487249374","0.24879080057144165","0.24937868118286133","864","864","864","0.24909652024507523","0.24905285239219666","0.2491624653339386","864","864","864","0.24873163551092148","0.248678520321846","0.2487729787826538","351","351","351"
"9","0.24908486381173134","0.2488918900489807","0.2494286149740219","960","960","960","0.249141875654459","0.24906396865844727","0.2492375522851944","960","960","960","0.2487950585782528","0.24873119592666626","0.24883581697940826","390","390","390"
"10","0.24915003031492233","0.248881995677948","0.24955926835536957","1056","1056","1056","0.2492077313363552","0.24907293915748596","0.2493537813425064","1056","1056","1056","0.2488323338329792","0.2487500011920929","0.2488761991262436","429","429","429"
"11","0.24917207658290863","0.2489069402217865","0.24959655106067657","1152","1152","1152","0.24924850836396217","0.24909603595733643","0.24944981932640076","1152","1152","1152","0.24886199831962585","0.24877095222473145","0.24892136454582214","468","468","468"
"12","0.2492181435227394","0.24901525676250458","0.24959786236286163","1248","1248","1248","0.24927760660648346","0.24910667538642883","0.24946632981300354","1248","1248","1248","0.24890585616230965","0.24884092807769775","0.2489520013332367","507","507","507"
"13","0.24932381883263588","0.24909597635269165","0.24968528747558594","1344","1344","1344","0.2493312880396843","0.24917101860046387","0.24953921139240265","1344","1344","1344","0.24894817173480988","0.24888357520103455","0.24897980690002441","546","546","546"
"14","0.2493678703904152","0.24916425347328186","0.24974516034126282","1440","1440","1440","0.24934669584035873","0.24917680025100708","0.24953439831733704","1440","1440","1440","0.24898206070065498","0.24895457923412323","0.24902455508708954","585","585","585"
"15","0.24937495589256287","0.2491489201784134","0.2496919184923172","1536","1536","1536","0.24932749196887016","0.24918152391910553","0.2494940161705017","1536","1536","1536","0.24898512661457062","0.24894464015960693","0.24902406334877014","624","624","624"
"16","0.24936512857675552","0.24915747344493866","0.24974289536476135","1632","1632","1632","0.2493298053741455","0.24912109971046448","0.24949771165847778","1632","1632","1632","0.24903219565749168","0.24900873005390167","0.2490561306476593","663","663","663"
"17","0.24942795187234879","0.249230295419693","0.24982520937919617","1728","1728","1728","0.24933626502752304","0.24909886717796326","0.24952536821365356","1728","1728","1728","0.2490420863032341","0.24901199340820312","0.24908970296382904","702","702","702"
"18","0.2494678609073162","0.24928045272827148","0.24983812868595123","1824","1824","1824","0.24932264164090157","0.24911107122898102","0.2495039701461792","1824","1824","1824","0.24907320365309715","0.24900484085083008","0.2491302341222763","741","741","741"
"19","0.2494770735502243","0.24928908050060272","0.24984964728355408","1920","1920","1920","0.24938706681132317","0.2492266148328781","0.24950309097766876","1920","1920","1920","0.24910006672143936","0.24907469749450684","0.24912291765213013","780","780","780"
"20","0.24951201304793358","0.24933072924613953","0.2497817724943161","2016","2016","2016","0.24939227476716042","0.24917662143707275","0.24949568510055542","2016","2016","2016","0.24912143498659134","0.24908477067947388","0.24914690852165222","819","819","819"
"21","0.2495177946984768","0.24935172498226166","0.2498067021369934","2112","2112","2112","0.24938411638140678","0.24914130568504333","0.24950630962848663","2112","2112","2112","0.24915001168847084","0.24910297989845276","0.24917000532150269","858","858","858"
"22","0.24950649216771126","0.24928198754787445","0.24970261752605438","2208","2208","2208","0.24941271170973778","0.24918462336063385","0.24956321716308594","2208","2208","2208","0.2491612695157528","0.2490924596786499","0.24924035370349884","897","897","897"
"23","0.24957111105322838","0.2493554949760437","0.24975039064884186","2304","2304","2304","0.2494201697409153","0.2490924745798111","0.24963240325450897","2304","2304","2304","0.24917436763644218","0.24910327792167664","0.24926014244556427","936","936","936"
"24","0.24957382678985596","0.24924790859222412","0.24979455769062042","2400","2400","2400","0.24942714348435402","0.24905255436897278","0.24964839220046997","2400","2400","2400","0.2491767406463623","0.24911586940288544","0.24923041462898254","975","975","975"
"25","0.24957315251231194","0.2493443340063095","0.24972638487815857","2496","2496","2496","0.24948709830641747","0.2490958720445633","0.24972715973854065","2496","2496","2496","0.24919061735272408","0.24912527203559875","0.24924349784851074","1014","1014","1014"
"26","0.24958087131381035","0.24933423101902008","0.24980652332305908","2592","2592","2592","0.24946844205260277","0.24905651807785034","0.2496732473373413","2592","2592","2592","0.24919000267982483","0.24911290407180786","0.24923643469810486","1053","1053","1053"
"27","0.24957943707704544","0.2493918240070343","0.2497282326221466","2688","2688","2688","0.24946243315935135","0.24909594655036926","0.2496732771396637","2688","2688","2688","0.24922585114836693","0.24914228916168213","0.24926595389842987","1092","1092","1092"
"28","0.24962401390075684","0.24931445717811584","0.24981346726417542","2784","2784","2784","0.24948135018348694","0.24917635321617126","0.24961677193641663","2784","2784","2784","0.2492213323712349","0.249159038066864","0.24927440285682678","1131","1131","1131"
"29","0.2496200166642666","0.2493748515844345","0.24974974989891052","2880","2880","2880","0.24953854829072952","0.24921593070030212","0.24969464540481567","2880","2880","2880","0.24923812225461006","0.24921032786369324","0.24931789934635162","1170","1170","1170"
"30","0.24959931895136833","0.24934880435466766","0.24978534877300262","2976","2976","2976","0.24960961565375328","0.24929594993591309","0.24979382753372192","2976","2976","2976","0.24925799295306206","0.24923454225063324","0.24928821623325348","1209","1209","1209"
"31","0.24964650347828865","0.2495145946741104","0.2497747540473938","3072","3072","3072","0.24964505061507225","0.24933600425720215","0.2498365342617035","3072","3072","3072","0.24928821623325348","0.24925678968429565","0.24933384358882904","1248","1248","1248"
"32","0.24967249855399132","0.2494906783103943","0.24984858930110931","3168","3168","3168","0.2496899664402008","0.24939754605293274","0.2498159408569336","3168","3168","3168","0.24929113313555717","0.24925383925437927","0.24934229254722595","1287","1287","1287"
"33","0.2497188076376915","0.24954167008399963","0.24985502660274506","3264","3264","3264","0.24973663687705994","0.24949485063552856","0.24992045760154724","3264","3264","3264","0.24930191040039062","0.24927566945552826","0.2493526190519333","1326","1326","1326"
"34","0.249661672860384","0.24948599934577942","0.24976637959480286","3360","3360","3360","0.24971971660852432","0.2493714690208435","0.24989601969718933","3360","3360","3360","0.24928730726242065","0.24926364421844482","0.24932429194450378","1365","1365","1365"
"35","0.24965594336390495","0.24945679306983948","0.24979481101036072","3456","3456","3456","0.249773308634758","0.24951884150505066","0.24997304379940033","3456","3456","3456","0.24930153042078018","0.24924743175506592","0.24936816096305847","1404","1404","1404"
"36","0.24968522787094116","0.24950957298278809","0.24995282292366028","3552","3552","3552","0.24975209683179855","0.249498188495636","0.25004878640174866","3552","3552","3552","0.2492995820939541","0.24925337731838226","0.24934865534305573","1443","1443","1443"
"37","0.24971210956573486","0.24946962296962738","0.24996906518936157","3648","3648","3648","0.24974577501416206","0.24941296875476837","0.2500007748603821","3648","3648","3648","0.24931355938315392","0.24926605820655823","0.24936892092227936","1482","1482","1482"
"38","0.24967310577630997","0.24932214617729187","0.24996808171272278","3744","3744","3744","0.24977892637252808","0.24955372512340546","0.2500040531158447","3744","3744","3744","0.24933388829231262","0.24923178553581238","0.24941039085388184","1521","1521","1521"
"39","0.24967123568058014","0.24940045177936554","0.24989241361618042","3840","3840","3840","0.24980153888463974","0.24960079789161682","0.24998509883880615","3840","3840","3840","0.24935580790042877","0.24928776919841766","0.24941277503967285","1560","1560","1560"
"40","0.24965418130159378","0.24942851066589355","0.2498004287481308","3936","3936","3936","0.24977796524763107","0.24959954619407654","0.24993622303009033","3936","3936","3936","0.2493537701666355","0.24930322170257568","0.2494467794895172","1599","1599","1599"
"41","0.24970589950680733","0.2494293451309204","0.2498818039894104","4032","4032","4032","0.24978234246373177","0.24954795837402344","0.24992312490940094","4032","4032","4032","0.24935491755604744","0.24929973483085632","0.24940809607505798","1638","1638","1638"
"42","0.24970302358269691","0.24940583109855652","0.24989698827266693","4128","4128","4128","0.2498079612851143","0.24956193566322327","0.2499845027923584","4128","4128","4128","0.2493765465915203","0.2492823451757431","0.24948039650917053","1677","1677","1677"
"43","0.2497556023299694","0.24952860176563263","0.25000619888305664","4224","4224","4224","0.2498437650501728","0.24955260753631592","0.24998420476913452","4224","4224","4224","0.24939407035708427","0.24927911162376404","0.24952572584152222","1716","1716","1716"
"44","0.24979502335190773","0.24959304928779602","0.24996575713157654","4320","4320","4320","0.24983323737978935","0.24956879019737244","0.24998295307159424","4320","4320","4320","0.24940015748143196","0.24923475086688995","0.24952715635299683","1755","1755","1755"
"45","0.2498512864112854","0.24964332580566406","0.2499847114086151","4416","4416","4416","0.24991421401500702","0.24961858987808228","0.2501102089881897","4416","4416","4416","0.2494102381169796","0.24919721484184265","0.24958841502666473","1794","1794","1794"
"46","0.24986062198877335","0.24966061115264893","0.24998924136161804","4512","4512","4512","0.24994591623544693","0.2497159242630005","0.2501126527786255","4512","4512","4512","0.24944118782877922","0.24925410747528076","0.24958206713199615","1833","1833","1833"
"47","0.24978173896670341","0.24965175986289978","0.24991458654403687","4608","4608","4608","0.24995847791433334","0.24975931644439697","0.250104695558548","4608","4608","4608","0.24946023523807526","0.24928635358810425","0.24962428212165833","1872","1872","1872"
"48","0.2498498037457466","0.24971985816955566","0.24999701976776123","4704","4704","4704","0.2499828115105629","0.2498445212841034","0.25010251998901367","4704","4704","4704","0.249461118131876","0.24926941096782684","0.2496122419834137","1911","1911","1911"
