"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"0","3.5310325026512146","3.530282735824585","3.5316848754882812","96","96","96","3.537356972694397","3.536224603652954","3.5380921363830566","96","96","96","3.518264651298523","3.5179316997528076","3.5185160636901855","39","39","39"
"1","3.5438915491104126","3.5431931018829346","3.544900417327881","192","192","192","3.5436787009239197","3.5426483154296875","3.5442357063293457","192","192","192","3.539714276790619","3.5391476154327393","3.540299892425537","78","78","78"
"2","3.5516486763954163","3.550384283065796","3.552452564239502","288","288","288","3.548945903778076","3.5472352504730225","3.5498127937316895","288","288","288","3.541475296020508","3.540860176086426","3.5421299934387207","117","117","117"
"3","3.5580484867095947","3.5568859577178955","3.5585672855377197","384","384","384","3.55362606048584","3.552166223526001","3.554413318634033","384","384","384","3.5447543263435364","3.5435922145843506","3.5456440448760986","156","156","156"
"4","3.563477873802185","3.5625081062316895","3.5640218257904053","480","480","480","3.5578221678733826","3.5566763877868652","3.558298349380493","480","480","480","3.546839952468872","3.5454463958740234","3.547715663909912","195","195","195"
"5","3.5681808590888977","3.567225456237793","3.5689218044281006","576","576","576","3.5619974732398987","3.5610744953155518","3.562635660171509","576","576","576","3.5485554933547974","3.5472073554992676","3.549600124359131","234","234","234"
"6","3.5726488828659058","3.571302890777588","3.573949098587036","672","672","672","3.5660380125045776","3.5640602111816406","3.567387580871582","672","672","672","3.550079822540283","3.5489888191223145","3.551090717315674","273","273","273"
"7","3.5766671895980835","3.575044631958008","3.578056812286377","768","768","768","3.569676458835602","3.5675437450408936","3.570605516433716","768","768","768","3.551572859287262","3.5503265857696533","3.5527865886688232","312","312","312"
"8","3.5802429914474487","3.578571319580078","3.581717014312744","864","864","864","3.573251724243164","3.5714707374572754","3.574568748474121","864","864","864","3.552833139896393","3.5517613887786865","3.5540337562561035","351","351","351"
"9","3.5839109420776367","3.582549571990967","3.5852794647216797","960","960","960","3.577109396457672","3.5754921436309814","3.578240394592285","960","960","960","3.5540347695350647","3.5529425144195557","3.555394172668457","390","390","390"
"10","3.587231457233429","3.586068630218506","3.5883474349975586","1056","1056","1056","3.5807360410690308","3.5786051750183105","3.5820436477661133","1056","1056","1056","3.555182158946991","3.5541324615478516","3.5565121173858643","429","429","429"
"11","3.590426504611969","3.5892128944396973","3.5914077758789062","1152","1152","1152","3.584080934524536","3.5818159580230713","3.585545063018799","1152","1152","1152","3.5562761425971985","3.5551376342773438","3.5577101707458496","468","468","468"
"12","3.593612253665924","3.5930418968200684","3.5941359996795654","1248","1248","1248","3.587473154067993","3.5852408409118652","3.589568614959717","1248","1248","1248","3.557390868663788","3.556447982788086","3.558715343475342","507","507","507"
"13","3.5966484546661377","3.5958902835845947","3.597158908843994","1344","1344","1344","3.5907978415489197","3.588836669921875","3.592846393585205","1344","1344","1344","3.5584441423416138","3.557626962661743","3.5599777698516846","546","546","546"
"14","3.599849283695221","3.5991525650024414","3.600447654724121","1440","1440","1440","3.5940330624580383","3.5921645164489746","3.596048593521118","1440","1440","1440","3.5595145225524902","3.5586817264556885","3.5610673427581787","585","585","585"
"15","3.6029675006866455","3.6013057231903076","3.604261875152588","1536","1536","1536","3.5971307158470154","3.5960659980773926","3.5982413291931152","1536","1536","1536","3.560479521751404","3.5595948696136475","3.561978340148926","624","624","624"
"16","3.6056880950927734","3.6045663356781006","3.6067419052124023","1632","1632","1632","3.6007078886032104","3.5996413230895996","3.602318048477173","1632","1632","1632","3.5615312457084656","3.5604827404022217","3.563117504119873","663","663","663"
"17","3.60831081867218","3.606692314147949","3.609452724456787","1728","1728","1728","3.6034712195396423","3.6022698879241943","3.6045470237731934","1728","1728","1728","3.5624733567237854","3.5614876747131348","3.5641608238220215","702","702","702"
"18","3.6114696264266968","3.61055850982666","3.612455368041992","1824","1824","1824","3.606254816055298","3.6050801277160645","3.6074817180633545","1824","1824","1824","3.5633052587509155","3.5626161098480225","3.564899206161499","741","741","741"
"19","3.6139681339263916","3.6128461360931396","3.6149556636810303","1920","1920","1920","3.6094433665275574","3.608339309692383","3.610725164413452","1920","1920","1920","3.5640857815742493","3.563312530517578","3.5658583641052246","780","780","780"
"20","3.616836190223694","3.6162867546081543","3.617663621902466","2016","2016","2016","3.6122926473617554","3.61128306388855","3.6131858825683594","2016","2016","2016","3.564864218235016","3.5640926361083984","3.56657075881958","819","819","819"
"21","3.619931161403656","3.6192798614501953","3.6205358505249023","2112","2112","2112","3.6153720021247864","3.6139321327209473","3.6167712211608887","2112","2112","2112","3.565793037414551","3.5648059844970703","3.5674571990966797","858","858","858"
