"train/epoch","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MAX"
"0","3.4334891637166343","3.4330179691314697","3.433835744857788","96","96","96","3.433379809061686","3.433044195175171","3.433757781982422","96","96","96","3.454455773035685","3.4542927742004395","3.4545698165893555","39","39","39"
"1","3.404623826344808","3.404129981994629","3.405132293701172","192","192","192","3.4014389514923096","3.4002060890197754","3.402373790740967","192","192","192","3.4399052460988364","3.4398248195648193","3.43997859954834","78","78","78"
"2","3.4038216272989907","3.4027130603790283","3.405573844909668","288","288","288","3.4006946086883545","3.3996119499206543","3.4016177654266357","288","288","288","3.4256105422973633","3.425398588180542","3.425718069076538","117","117","117"
"3","3.3953445752461753","3.3929309844970703","3.398989200592041","384","384","384","3.403601328531901","3.40071439743042","3.4062182903289795","384","384","384","3.4113736152648926","3.411093235015869","3.411656618118286","156","156","156"
"4","3.3936423460642495","3.39109206199646","3.3969414234161377","480","480","480","3.411103089650472","3.4086132049560547","3.413766384124756","480","480","480","3.3994503815968833","3.3984570503234863","3.4001548290252686","195","195","195"
"5","3.4000813961029053","3.3980062007904053","3.4040067195892334","576","576","576","3.4206321239471436","3.4167895317077637","3.425504207611084","576","576","576","3.3927826086680093","3.391733407974243","3.3935728073120117","234","234","234"
"6","3.4104514916737876","3.408627986907959","3.413421392440796","672","672","672","3.435551961263021","3.432213544845581","3.440847873687744","672","672","672","3.39607842763265","3.395158052444458","3.3974006175994873","273","273","273"
"7","3.424994389216105","3.4223759174346924","3.428943634033203","768","768","768","3.451918284098307","3.448035478591919","3.458296537399292","768","768","768","3.3998912970225015","3.397632122039795","3.4014434814453125","312","312","312"
"8","3.441303094228109","3.4386544227600098","3.444901943206787","864","864","864","3.471106926600138","3.466872453689575","3.4776253700256348","864","864","864","3.4018545945485434","3.398588180541992","3.4042491912841797","351","351","351"
"9","3.459890842437744","3.457688570022583","3.4632797241210938","960","960","960","3.4909226099650064","3.486825704574585","3.4980995655059814","960","960","960","3.4035539627075195","3.400024175643921","3.406881332397461","390","390","390"
