"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - test/pretrain_accuracy","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"4","0.5981327800829875","0.5838174273858922","0.6060165975103734","480","480","480","0.3994294605809129","0.38858921161825727","0.404149377593361","480","480","480","0.15269709543568466","0.1400414937759336","0.16742738589211617","195","195","195"
"9","0.6303423236514523","0.6224066390041494","0.6387966804979253","960","960","960","0.46415975103734436","0.45643153526970953","0.4695020746887967","960","960","960","0.11151452282157677","0.09937759336099584","0.12510373443983402","390","390","390"
"14","0.6440871369294605","0.6398340248962655","0.6481327800829876","1440","1440","1440","0.5090767634854771","0.5022821576763485","0.5145228215767634","1440","1440","1440","0.08698132780082987","0.07136929460580912","0.1045643153526971","585","585","585"
"19","0.6525933609958506","0.6487551867219917","0.6558091286307054","1920","1920","1920","0.5173236514522821","0.512655601659751","0.5238589211618258","1920","1920","1920","0.07033195020746888","0.06452282157676349","0.08278008298755186","780","780","780"
"24","0.6573132780082988","0.6516597510373444","0.6609958506224066","2400","2400","2400","0.525","0.5184647302904565","0.5346473029045643","2400","2400","2400","0.05897302904564315","0.052904564315352696","0.06286307053941909","975","975","975"
"29","0.6616701244813278","0.6566390041493776","0.6713692946058091","2880","2880","2880","0.5339211618257261","0.5213692946058092","0.5398340248962655","2880","2880","2880","0.054564315352697096","0.04605809128630706","0.06390041493775933","1170","1170","1170"
"34","0.6579875518672199","0.6452282157676349","0.6728215767634855","3360","3360","3360","0.537551867219917","0.5253112033195021","0.5466804979253111","3360","3360","3360","0.04439834024896265","0.04004149377593361","0.047925311203319505","1365","1365","1365"
"39","0.6615663900414938","0.6518672199170125","0.666597510373444","3840","3840","3840","0.5510373443983403","0.5441908713692946","0.558298755186722","3840","3840","3840","0.03796680497925311","0.035062240663900415","0.041701244813278006","1560","1560","1560"
"44","0.6649377593360996","0.6549792531120332","0.6713692946058091","4320","4320","4320","0.5556535269709544","0.5516597510373444","0.5622406639004149","4320","4320","4320","0.03158713692946058","0.028838174273858923","0.036929460580912864","1755","1755","1755"
"49","0.6663381742738589","0.6607883817427386","0.670954356846473","4800","4800","4800","0.5579356846473029","0.5441908713692946","0.5724066390041493","4800","4800","4800","0.02774896265560166","0.024688796680497924","0.03049792531120332","1950","1950","1950"
