"train/epoch","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_rms_norm","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_rms_norm__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_rms_norm__MAX","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_rms_norm","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_rms_norm__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_rms_norm__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MAX"
"0","1.548895239830017","1.546512484550476","1.551527976989746","57","57","57","1.5799376368522644","1.577890157699585","1.5820481777191162","57","57","57"
"1","1.5792292058467865","1.5731557607650757","1.5905711650848389","114","114","114","1.6541758179664612","1.6512290239334106","1.656538486480713","114","114","114"
"2","1.6272242069244385","1.6140716075897217","1.6392589807510376","171","171","171","1.7389698028564453","1.7266708612442017","1.75308096408844","171","171","171"
"3","1.6984303891658783","1.6687581539154053","1.7220813035964966","228","228","228","1.867814987897873","1.8525850772857666","1.8846197128295898","228","228","228"
"4","1.7809824049472809","1.7300232648849487","1.8121068477630615","285","285","285","1.9489946961402893","1.9375566244125366","1.96090829372406","285","285","285"
"5","1.870406150817871","1.803912878036499","1.9054889678955078","342","342","342","1.999243974685669","1.988662600517273","2.0104236602783203","342","342","342"
"6","1.9658254981040955","1.8855969905853271","2.0053391456604004","399","399","399","2.036819100379944","2.024554967880249","2.0497875213623047","399","399","399"
"7","2.0615350008010864","1.9694163799285889","2.110452890396118","456","456","456","2.0679174065589905","2.0525474548339844","2.08231258392334","456","456","456"
"8","2.1514071226119995","2.055769443511963","2.205306053161621","513","513","513","2.0945997834205627","2.0771520137786865","2.1099863052368164","513","513","513"
"9","2.235871434211731","2.138209819793701","2.2951300144195557","570","570","570","2.1203455924987793","2.1009955406188965","2.136536121368408","570","570","570"
"10","2.313359498977661","2.217785358428955","2.3729045391082764","627","627","627","2.144501209259033","2.122831344604492","2.1619362831115723","627","627","627"
"11","2.3827208876609802","2.2946219444274902","2.4401729106903076","684","684","684","2.168205499649048","2.1464121341705322","2.1872153282165527","684","684","684"
"12","2.4476633071899414","2.3649821281433105","2.5016989707946777","741","741","741","2.19306218624115","2.172032117843628","2.212067127227783","741","741","741"
"13","2.506627321243286","2.427907705307007","2.564260959625244","798","798","798","2.219524621963501","2.2007203102111816","2.237454891204834","798","798","798"
"14","2.5620504021644592","2.4885354042053223","2.6154303550720215","855","855","855","2.2459906339645386","2.227915048599243","2.2638604640960693","855","855","855"
"15","2.6081488728523254","2.540984869003296","2.6618804931640625","912","912","912","2.272690534591675","2.256547212600708","2.2908997535705566","912","912","912"
"16","2.655168831348419","2.594294309616089","2.708218574523926","969","969","969","2.299279034137726","2.2845678329467773","2.319267749786377","969","969","969"
"17","2.6971314549446106","2.6445000171661377","2.7499382495880127","1026","1026","1026","2.325320601463318","2.3125598430633545","2.346496343612671","1026","1026","1026"
"18","2.7368656992912292","2.6825480461120605","2.7924225330352783","1083","1083","1083","2.350291669368744","2.3365182876586914","2.374668598175049","1083","1083","1083"
"19","2.77582985162735","2.7231767177581787","2.8315415382385254","1140","1140","1140","2.373309314250946","2.3572585582733154","2.4011363983154297","1140","1140","1140"
"20","2.8111528754234314","2.758554458618164","2.8697125911712646","1197","1197","1197","2.3951266407966614","2.3763556480407715","2.427084445953369","1197","1197","1197"
"21","2.84284645318985","2.7859573364257812","2.90513277053833","1254","1254","1254","2.4150562286376953","2.394595146179199","2.4497814178466797","1254","1254","1254"
"22","2.8738821744918823","2.818118095397949","2.9322447776794434","1311","1311","1311","2.4336716532707214","2.4129157066345215","2.4692931175231934","1311","1311","1311"
"23","2.902812898159027","2.848644733428955","2.9669742584228516","1368","1368","1368","2.450884163379669","2.4296622276306152","2.486846685409546","1368","1368","1368"
"24","2.9328065514564514","2.881704330444336","2.996307849884033","1425","1425","1425","2.46694153547287","2.446376323699951","2.5027334690093994","1425","1425","1425"
"25","2.9652323126792908","2.9094276428222656","3.0343680381774902","1482","1482","1482","2.4823795557022095","2.4610562324523926","2.518495798110962","1482","1482","1482"
"26","2.992941379547119","2.939513683319092","3.060431718826294","1539","1539","1539","2.4973291158676147","2.474858283996582","2.533853054046631","1539","1539","1539"
"27","3.018350124359131","2.9652493000030518","3.0817439556121826","1596","1596","1596","2.5117146372795105","2.4895896911621094","2.548814296722412","1596","1596","1596"
"28","3.0431783199310303","2.993340253829956","3.104541063308716","1653","1653","1653","2.5257433652877808","2.5037057399749756","2.563962936401367","1653","1653","1653"
"29","3.065149664878845","3.0136704444885254","3.123631477355957","1710","1710","1710","2.5383870005607605","2.516960620880127","2.5765528678894043","1710","1710","1710"
"30","3.084609091281891","3.0352540016174316","3.1476547718048096","1767","1767","1767","2.551222026348114","2.52923321723938","2.5899558067321777","1767","1767","1767"
"31","3.103648006916046","3.0556552410125732","3.169447898864746","1824","1824","1824","2.5632330775260925","2.5414392948150635","2.6029553413391113","1824","1824","1824"
"32","3.1221572160720825","3.0664641857147217","3.190201759338379","1881","1881","1881","2.5753056406974792","2.5536563396453857","2.6163907051086426","1881","1881","1881"
"33","3.1382442712783813","3.0836942195892334","3.2080307006835938","1938","1938","1938","2.5867096185684204","2.5649666786193848","2.62913179397583","1938","1938","1938"
"34","3.15765517950058","3.0969176292419434","3.230318546295166","1995","1995","1995","2.5979623794555664","2.576211452484131","2.6418514251708984","1995","1995","1995"
"35","3.174950122833252","3.116755485534668","3.243513584136963","2052","2052","2052","2.6081801056861877","2.5862209796905518","2.6532647609710693","2052","2052","2052"
"36","3.1939461827278137","3.13578200340271","3.2679648399353027","2109","2109","2109","2.618304491043091","2.595547676086426","2.664628744125366","2109","2109","2109"
"37","3.2087233662605286","3.1469626426696777","3.2800345420837402","2166","2166","2166","2.6282092332839966","2.6052746772766113","2.6753783226013184","2166","2166","2166"
"38","3.2198399901390076","3.159902811050415","3.2951016426086426","2223","2223","2223","2.6374714374542236","2.614745616912842","2.6857285499572754","2223","2223","2223"
"39","3.231562376022339","3.1715126037597656","3.3087096214294434","2280","2280","2280","2.6467625498771667","2.623286008834839","2.6963844299316406","2280","2280","2280"
"40","3.2428364753723145","3.181607246398926","3.317897319793701","2337","2337","2337","2.6556676030158997","2.6323280334472656","2.7061305046081543","2337","2337","2337"
"41","3.2575310468673706","3.1998114585876465","3.327536106109619","2394","2394","2394","2.6643200516700745","2.6404595375061035","2.7163054943084717","2394","2394","2394"
"42","3.2664393186569214","3.210928440093994","3.3417775630950928","2451","2451","2451","2.6724422574043274","2.6483497619628906","2.7263023853302","2451","2451","2451"
"43","3.278007984161377","3.220297336578369","3.3497154712677","2508","2508","2508","2.6794407963752747","2.6544156074523926","2.7339391708374023","2508","2508","2508"
"44","3.2883464097976685","3.228694438934326","3.361185073852539","2565","2565","2565","2.687513828277588","2.661428451538086","2.7426767349243164","2565","2565","2565"
"45","3.301897704601288","3.24086594581604","3.3825037479400635","2622","2622","2622","2.6951491236686707","2.668501853942871","2.7509517669677734","2622","2622","2622"
"46","3.3110157251358032","3.249917984008789","3.3853931427001953","2679","2679","2679","2.702636241912842","2.675171136856079","2.7602357864379883","2679","2679","2679"
"47","3.317746102809906","3.261854887008667","3.386007308959961","2736","2736","2736","2.70954430103302","2.6806633472442627","2.7682087421417236","2736","2736","2736"
"48","3.3233722448349","3.2682507038116455","3.3946094512939453","2793","2793","2793","2.716425895690918","2.6868977546691895","2.7754287719726562","2793","2793","2793"
"49","3.329699218273163","3.272439479827881","3.401582717895508","2850","2850","2850","2.723212242126465","2.6936092376708984","2.782525062561035","2850","2850","2850"
"50","3.338048279285431","3.2869863510131836","3.4062159061431885","2907","2907","2907","2.729805648326874","2.6991381645202637","2.790074586868286","2907","2907","2907"
"51","3.345424234867096","3.293531894683838","3.4104249477386475","2964","2964","2964","2.736173391342163","2.7050395011901855","2.7963929176330566","2964","2964","2964"
"52","3.3539775013923645","3.303730010986328","3.4252262115478516","3021","3021","3021","2.7427846789360046","2.7105700969696045","2.803588390350342","3021","3021","3021"
"53","3.360545575618744","3.3149731159210205","3.4285013675689697","3078","3078","3078","2.7487912774086","2.716120958328247","2.810203790664673","3078","3078","3078"
"54","3.369555115699768","3.3264403343200684","3.434333562850952","3135","3135","3135","2.755339741706848","2.7223243713378906","2.8167054653167725","3135","3135","3135"
"55","3.3745550513267517","3.327834367752075","3.4346165657043457","3192","3192","3192","2.7614306211471558","2.727969169616699","2.8234152793884277","3192","3192","3192"
"56","3.3793466091156006","3.3347132205963135","3.431565284729004","3249","3249","3249","2.76694792509079","2.7330589294433594","2.829145908355713","3249","3249","3249"
"57","3.385339319705963","3.3431711196899414","3.4381611347198486","3306","3306","3306","2.773057460784912","2.738947629928589","2.835413932800293","3306","3306","3306"
"58","3.3909332752227783","3.347719430923462","3.4449033737182617","3363","3363","3363","2.7785630226135254","2.7441797256469727","2.8411049842834473","3363","3363","3363"
"59","3.3980178833007812","3.3549160957336426","3.455763339996338","3420","3420","3420","2.7846407890319824","2.749760627746582","2.8473410606384277","3420","3420","3420"
