"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MAX"
"0","0.06286964006721973","0.0628146380186081","0.06300690025091171","96","96","96","0.06284324638545513","0.06271491199731827","0.06291794776916504","96","96","96"
"1","0.0630305539816618","0.06290356069803238","0.06314188241958618","192","192","192","0.06310740858316422","0.06300527602434158","0.06318923085927963","192","192","192"
"2","0.06328688561916351","0.0631888210773468","0.06337858736515045","288","288","288","0.06342080235481262","0.06331616640090942","0.06356882303953171","288","288","288"
"3","0.06362577341496944","0.06342297792434692","0.06371653825044632","384","384","384","0.06372629106044769","0.06358585506677628","0.06385455280542374","384","384","384"
"4","0.06387750245630741","0.06364282965660095","0.06400293111801147","480","480","480","0.06400812231004238","0.06383602321147919","0.06410547345876694","480","480","480"
"5","0.0641147717833519","0.06387913227081299","0.06429697573184967","576","576","576","0.06423086859285831","0.06412588059902191","0.06428781151771545","576","576","576"
"6","0.06432858482003212","0.064055435359478","0.06460104137659073","672","672","672","0.06438031233847141","0.06430783867835999","0.06447631120681763","672","672","672"
"7","0.06454990804195404","0.06436213850975037","0.06480023264884949","768","768","768","0.06453101895749569","0.06437434256076813","0.06479780375957489","768","768","768"
"8","0.06470605917274952","0.06449677795171738","0.06493501365184784","864","864","864","0.06468533724546432","0.06454028189182281","0.0648990273475647","864","864","864"
"9","0.06491531617939472","0.06472863256931305","0.06512422114610672","960","960","960","0.06487904116511345","0.064792200922966","0.06507372111082077","960","960","960"
"10","0.06502344273030758","0.06477275490760803","0.06526676565408707","1056","1056","1056","0.06497850082814693","0.06484116613864899","0.065188929438591","1056","1056","1056"
"11","0.06517126969993114","0.06494675576686859","0.06538620591163635","1152","1152","1152","0.06501577608287334","0.06488284468650818","0.06515282392501831","1152","1152","1152"
"12","0.06529642827808857","0.06499002873897552","0.06552288681268692","1248","1248","1248","0.06512364000082016","0.0649702250957489","0.06528037786483765","1248","1248","1248"
"13","0.06541181541979313","0.06515340507030487","0.06559427082538605","1344","1344","1344","0.06520790793001652","0.06505076587200165","0.06537091732025146","1344","1344","1344"
"14","0.06557504460215569","0.06535443663597107","0.06573568284511566","1440","1440","1440","0.06535502895712852","0.06521406769752502","0.06558716297149658","1440","1440","1440"
"15","0.0657240953296423","0.06549409031867981","0.06583619117736816","1536","1536","1536","0.06544147804379463","0.06529474258422852","0.06569939851760864","1536","1536","1536"
"16","0.0658256933093071","0.06552007794380188","0.06599988043308258","1632","1632","1632","0.06554003618657589","0.06536784768104553","0.06587646156549454","1632","1632","1632"
"17","0.0659340675920248","0.0656120777130127","0.06607425957918167","1728","1728","1728","0.0656077228486538","0.06539755314588547","0.06590999662876129","1728","1728","1728"
"18","0.06600509397685528","0.06560426950454712","0.06625334918498993","1824","1824","1824","0.06570443883538246","0.06546758115291595","0.065990149974823","1824","1824","1824"
"19","0.06611037999391556","0.06566625833511353","0.06631559133529663","1920","1920","1920","0.06575865298509598","0.06555862724781036","0.0661093071103096","1920","1920","1920"
"20","0.06624211929738522","0.06576763093471527","0.06642226129770279","2016","2016","2016","0.06585345044732094","0.06569492816925049","0.06612578779459","2016","2016","2016"
"21","0.06644141115248203","0.06593112647533417","0.06672825664281845","2112","2112","2112","0.0658919159322977","0.0657554566860199","0.06610855460166931","2112","2112","2112"
"22","0.066578708589077","0.06614728271961212","0.06680609285831451","2208","2208","2208","0.0659358873963356","0.06577076762914658","0.06609097123146057","2208","2208","2208"
"23","0.06661326810717583","0.06609772145748138","0.06682778894901276","2304","2304","2304","0.0660209134221077","0.06590816378593445","0.06618732213973999","2304","2304","2304"
"24","0.0667777732014656","0.06624578684568405","0.06701410561800003","2400","2400","2400","0.06610111705958843","0.06593490391969681","0.06637014448642731","2400","2400","2400"
"25","0.06686535105109215","0.06639647483825684","0.06712706387042999","2496","2496","2496","0.06620283797383308","0.06608302146196365","0.06645821779966354","2496","2496","2496"
"26","0.06694572605192661","0.06648916006088257","0.06714469194412231","2592","2592","2592","0.06629996746778488","0.0661938339471817","0.06651584059000015","2592","2592","2592"
"27","0.0670500285923481","0.0665193647146225","0.06726487725973129","2688","2688","2688","0.06631777063012123","0.06619159132242203","0.06653432548046112","2688","2688","2688"
"28","0.0671598520129919","0.06672027707099915","0.06740424036979675","2784","2784","2784","0.06640051305294037","0.06627785414457321","0.06663671880960464","2784","2784","2784"
"29","0.06729800254106522","0.06686525046825409","0.06747551262378693","2880","2880","2880","0.06650541722774506","0.06644314527511597","0.06659269332885742","2880","2880","2880"
"30","0.06738567538559437","0.06686605513095856","0.06764479726552963","2976","2976","2976","0.06660572066903114","0.0664549320936203","0.06675609201192856","2976","2976","2976"
"31","0.0674964115023613","0.06694279611110687","0.06772442162036896","3072","3072","3072","0.06669714115560055","0.06653331220149994","0.06697725504636765","3072","3072","3072"
"32","0.0675556231290102","0.06690216064453125","0.06787462532520294","3168","3168","3168","0.06676151789724827","0.06662414968013763","0.06713327020406723","3168","3168","3168"
"33","0.06768214330077171","0.06704340875148773","0.06802234053611755","3264","3264","3264","0.06676348857581615","0.06659883260726929","0.06714779883623123","3264","3264","3264"
"34","0.0677453838288784","0.06706392765045166","0.0681522786617279","3360","3360","3360","0.0668602492660284","0.0666232630610466","0.06731873750686646","3360","3360","3360"
"35","0.06782274506986141","0.06716429442167282","0.06823915243148804","3456","3456","3456","0.06688200309872627","0.0666484385728836","0.0673762708902359","3456","3456","3456"
"36","0.06789900548756123","0.06724962592124939","0.06826023012399673","3552","3552","3552","0.06696289032697678","0.0666990876197815","0.0674702599644661","3552","3552","3552"
"37","0.06799065880477428","0.0673750787973404","0.06835554540157318","3648","3648","3648","0.06699644774198532","0.06670032441616058","0.06749389320611954","3648","3648","3648"
"38","0.06815824843943119","0.06741693615913391","0.06859646737575531","3744","3744","3744","0.06702537089586258","0.06677433848381042","0.0674823746085167","3744","3744","3744"
"39","0.06821375712752342","0.06747478246688843","0.0686890110373497","3840","3840","3840","0.06712916679680347","0.06686366349458694","0.06748384237289429","3840","3840","3840"
"40","0.06829866953194141","0.06752020120620728","0.06880756467580795","3936","3936","3936","0.06712176091969013","0.06695282459259033","0.067484050989151","3936","3936","3936"
"41","0.06837605498731136","0.06757894903421402","0.06884366273880005","4032","4032","4032","0.06719820946455002","0.06700449436903","0.06754186749458313","4032","4032","4032"
"42","0.06845849007368088","0.06768208742141724","0.06883621215820312","4128","4128","4128","0.06721208244562149","0.06703920662403107","0.06756081432104111","4128","4128","4128"
"43","0.06858118996024132","0.06776611506938934","0.06892023980617523","4224","4224","4224","0.06729543767869473","0.06715162098407745","0.06755870580673218","4224","4224","4224"
"44","0.06866942718625069","0.0677158385515213","0.06921346485614777","4320","4320","4320","0.06736963614821434","0.06717182695865631","0.0676482617855072","4320","4320","4320"
"45","0.06873616017401218","0.06775984168052673","0.06933286786079407","4416","4416","4416","0.06744200177490711","0.06722588837146759","0.06772013008594513","4416","4416","4416"
"46","0.06881638802587986","0.06781023740768433","0.06947644054889679","4512","4512","4512","0.067519661039114","0.06724823266267776","0.06780041009187698","4512","4512","4512"
"47","0.06890509277582169","0.06792225688695908","0.06957194954156876","4608","4608","4608","0.06757534854114056","0.06741252541542053","0.06783633679151535","4608","4608","4608"
"48","0.06894854828715324","0.06799840182065964","0.06955131888389587","4704","4704","4704","0.06759680807590485","0.06741338968276978","0.06793834269046783","4704","4704","4704"
"49","0.06906692869961262","0.06802468001842499","0.06979604810476303","4800","4800","4800","0.06763150729238987","0.06737422943115234","0.0680045634508133","4800","4800","4800"
"50","0.06916268356144428","0.06813903152942657","0.06983533501625061","4896","4896","4896","0.06769740022718906","0.06744801998138428","0.06796658039093018","4896","4896","4896"
"51","0.06922797672450542","0.06810629367828369","0.07003895193338394","4992","4992","4992","0.06776093505322933","0.06750170886516571","0.06800971180200577","4992","4992","4992"
"52","0.0693343747407198","0.06810212880373001","0.0701601654291153","5088","5088","5088","0.06786900386214256","0.06759393960237503","0.06810933351516724","5088","5088","5088"
"53","0.06937995925545692","0.06814652681350708","0.07020410895347595","5184","5184","5184","0.06790212355554104","0.06772860139608383","0.06810678541660309","5184","5184","5184"
"54","0.0694623626768589","0.06822629272937775","0.07027582824230194","5280","5280","5280","0.0679695550352335","0.06777526438236237","0.06825259327888489","5280","5280","5280"
"55","0.06954078562557697","0.06839078664779663","0.07030245661735535","5376","5376","5376","0.06801295094192028","0.06778876483440399","0.06835298985242844","5376","5376","5376"
"56","0.069656727835536","0.06845025718212128","0.07042934000492096","5472","5472","5472","0.06810086779296398","0.06787402182817459","0.06843328475952148","5472","5472","5472"
"57","0.06972262263298035","0.0684819445014","0.07052317261695862","5568","5568","5568","0.0681346207857132","0.06790368258953094","0.06849561631679535","5568","5568","5568"
"58","0.06976602040231228","0.0685531497001648","0.07052642107009888","5664","5664","5664","0.06820470094680786","0.0679200068116188","0.06867959350347519","5664","5664","5664"
"59","0.06987318955361843","0.06873244047164917","0.07064986228942871","5760","5760","5760","0.06827759556472301","0.06798236072063446","0.06881264597177505","5760","5760","5760"
"60","0.06997914426028728","0.06893797963857651","0.07075268030166626","5856","5856","5856","0.06829669512808323","0.06798185408115387","0.06886482238769531","5856","5856","5856"
"61","0.07017091661691666","0.069068543612957","0.07082486152648926","5952","5952","5952","0.068334074690938","0.06809210777282715","0.06880022585391998","5952","5952","5952"
"62","0.07025590352714062","0.06909862905740738","0.07092335820198059","6048","6048","6048","0.06835322268307209","0.06818794459104538","0.06873252987861633","6048","6048","6048"
"63","0.07038221322000027","0.06925582885742188","0.07112935930490494","6144","6144","6144","0.06841351836919785","0.06822831928730011","0.06867600977420807","6144","6144","6144"
"64","0.07042584381997585","0.06934831291437149","0.07111302763223648","6240","6240","6240","0.06842979043722153","0.06825968623161316","0.0686848908662796","6240","6240","6240"
"65","0.0705387219786644","0.0694018229842186","0.07124809920787811","6336","6336","6336","0.06847395189106464","0.06828415393829346","0.06870843470096588","6336","6336","6336"
"66","0.07065032050013542","0.06956195831298828","0.0713224858045578","6432","6432","6432","0.0685195941478014","0.06836298108100891","0.06865143030881882","6432","6432","6432"
"67","0.0707034170627594","0.06957967579364777","0.07141480594873428","6528","6528","6528","0.06856521032750607","0.06836238503456116","0.06871513277292252","6528","6528","6528"
"68","0.07073874957859516","0.06970801204442978","0.07147739827632904","6624","6624","6624","0.06861789338290691","0.06848030537366867","0.06877188384532928","6624","6624","6624"
"69","0.07079139724373817","0.06971719861030579","0.0715261697769165","6720","6720","6720","0.06868843920528889","0.06858907639980316","0.06878876686096191","6720","6720","6720"
"70","0.07088740356266499","0.06986135989427567","0.07163015007972717","6816","6816","6816","0.06880202703177929","0.06866668164730072","0.06891987472772598","6816","6816","6816"
"71","0.07088872045278549","0.06975594907999039","0.07172880321741104","6912","6912","6912","0.06884006038308144","0.06873967498540878","0.0689639002084732","6912","6912","6912"
"72","0.07102194242179394","0.06990785896778107","0.07176465541124344","7008","7008","7008","0.06892827153205872","0.06879910081624985","0.06920667737722397","7008","7008","7008"
"73","0.07114001736044884","0.06998202204704285","0.07179728150367737","7104","7104","7104","0.06903749704360962","0.06883937120437622","0.06942985951900482","7104","7104","7104"
"74","0.07120589539408684","0.06997859477996826","0.07181401550769806","7200","7200","7200","0.06906457617878914","0.06878003478050232","0.06950992345809937","7200","7200","7200"
"75","0.0712937731295824","0.0700186938047409","0.0720546767115593","7296","7296","7296","0.06915280781686306","0.06886255741119385","0.06957262009382248","7296","7296","7296"
"76","0.07143084146082401","0.07020935416221619","0.0721960961818695","7392","7392","7392","0.0692388266324997","0.06904330849647522","0.06964027136564255","7392","7392","7392"
"77","0.07149139232933521","0.070307657122612","0.07222441583871841","7488","7488","7488","0.0692594051361084","0.06910533457994461","0.06959182769060135","7488","7488","7488"
"78","0.07157970406115055","0.07032127678394318","0.07233162224292755","7584","7584","7584","0.06930951029062271","0.0691552683711052","0.06964705139398575","7584","7584","7584"
"79","0.07164436019957066","0.07037189602851868","0.07242259383201599","7680","7680","7680","0.0693382415920496","0.0691273957490921","0.0696893036365509","7680","7680","7680"
"80","0.07170899957418442","0.07043308019638062","0.07242012023925781","7776","7776","7776","0.06941600702702999","0.06918331980705261","0.06976481527090073","7776","7776","7776"
"81","0.07181225903332233","0.07049113512039185","0.07260126620531082","7872","7872","7872","0.06948297843337059","0.0693211555480957","0.0697994977235794","7872","7872","7872"
"82","0.07181045413017273","0.07051981985569","0.07252418994903564","7968","7968","7968","0.06960546411573887","0.06943613290786743","0.06993485987186432","7968","7968","7968"
"83","0.07196696475148201","0.07051710784435272","0.07263895869255066","8064","8064","8064","0.06960826180875301","0.06945457309484482","0.06985491514205933","8064","8064","8064"
"84","0.07206737250089645","0.07050851732492447","0.07279287278652191","8160","8160","8160","0.06962259858846664","0.06942118704319","0.069909006357193","8160","8160","8160"
"85","0.07210875116288662","0.07056912034749985","0.0728147029876709","8256","8256","8256","0.06978107057511806","0.06950875371694565","0.07016941905021667","8256","8256","8256"
"86","0.0721611026674509","0.0706268846988678","0.07291939854621887","8352","8352","8352","0.06980334594845772","0.0694262683391571","0.07019741088151932","8352","8352","8352"
"87","0.0721940640360117","0.0706157386302948","0.07296767085790634","8448","8448","8448","0.06992032192647457","0.0694810003042221","0.07017141580581665","8448","8448","8448"
"88","0.07223290391266346","0.07063047587871552","0.07307789474725723","8544","8544","8544","0.0699955653399229","0.06950432807207108","0.07029508054256439","8544","8544","8544"
"89","0.07228686287999153","0.07068409770727158","0.07306988537311554","8640","8640","8640","0.07000057771801949","0.06934930384159088","0.0703900083899498","8640","8640","8640"
