"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.005-group - _step__MAX"
"0","3.186107814311981","3.184368133544922","3.189105987548828","96","96","96","3.194904148578644","3.1903367042541504","3.1981041431427","96","96","96"
"1","3.221514105796814","3.2185702323913574","3.2267980575561523","192","192","192","3.221486747264862","3.215451717376709","3.225994110107422","192","192","192"
"2","3.2445903420448303","3.2401647567749023","3.2512941360473633","288","288","288","3.231405258178711","3.2244348526000977","3.236361503601074","288","288","288"
"3","3.261728346347809","3.2571282386779785","3.2688369750976562","384","384","384","3.237419843673706","3.2310500144958496","3.242262363433838","384","384","384"
"4","3.279343008995056","3.27485990524292","3.2869668006896973","480","480","480","3.2422829270362854","3.234699010848999","3.2477407455444336","480","480","480"
"5","3.29544335603714","3.291749954223633","3.3034095764160156","576","576","576","3.2472277879714966","3.240180015563965","3.251494884490967","576","576","576"
"6","3.3102351427078247","3.3060803413391113","3.3182201385498047","672","672","672","3.2527471780776978","3.245729923248291","3.257636070251465","672","672","672"
"7","3.323317527770996","3.3189072608947754","3.3317441940307617","768","768","768","3.2582303285598755","3.2508010864257812","3.2637906074523926","768","768","768"
"8","3.335980176925659","3.331786632537842","3.344731330871582","864","864","864","3.2632920145988464","3.2561964988708496","3.26816463470459","864","864","864"
"9","3.346923053264618","3.34291410446167","3.3560287952423096","960","960","960","3.26937198638916","3.261728525161743","3.2747902870178223","960","960","960"
"10","3.357072174549103","3.3530759811401367","3.36596417427063","1056","1056","1056","3.2749064564704895","3.2667236328125","3.280571937561035","1056","1056","1056"
"11","3.367073118686676","3.3628621101379395","3.375807285308838","1152","1152","1152","3.281002104282379","3.2727608680725098","3.286773681640625","1152","1152","1152"
"12","3.3762267231941223","3.3718247413635254","3.3852994441986084","1248","1248","1248","3.2868778705596924","3.2788100242614746","3.292334794998169","1248","1248","1248"
"13","3.384747087955475","3.380474805831909","3.393559217453003","1344","1344","1344","3.2933887243270874","3.2853450775146484","3.299400806427002","1344","1344","1344"
"14","3.39271342754364","3.388059616088867","3.4019839763641357","1440","1440","1440","3.300168812274933","3.292419195175171","3.3060293197631836","1440","1440","1440"
"15","3.4004493355751038","3.3954272270202637","3.4103000164031982","1536","1536","1536","3.306475579738617","3.2983546257019043","3.3126583099365234","1536","1536","1536"
"16","3.4079684615135193","3.403524398803711","3.4177820682525635","1632","1632","1632","3.3130006790161133","3.3050522804260254","3.3190245628356934","1632","1632","1632"
"17","3.4148423075675964","3.409635305404663","3.424999475479126","1728","1728","1728","3.31962913274765","3.3111915588378906","3.3256845474243164","1728","1728","1728"
"18","3.4216848015785217","3.4175071716308594","3.4309628009796143","1824","1824","1824","3.3269144892692566","3.3197622299194336","3.33270525932312","1824","1824","1824"
"19","3.4284958243370056","3.4237966537475586","3.4385006427764893","1920","1920","1920","3.334012985229492","3.3270456790924072","3.339506149291992","1920","1920","1920"
"20","3.434901535511017","3.4306788444519043","3.4445478916168213","2016","2016","2016","3.340776741504669","3.333827495574951","3.3469529151916504","2016","2016","2016"
"21","3.441225528717041","3.4362173080444336","3.4511725902557373","2112","2112","2112","3.3477829694747925","3.341050624847412","3.3539013862609863","2112","2112","2112"
"22","3.4471097588539124","3.4419713020324707","3.4577698707580566","2208","2208","2208","3.354635238647461","3.347583770751953","3.3618152141571045","2208","2208","2208"
"23","3.4531251192092896","3.448726177215576","3.4632480144500732","2304","2304","2304","3.3615004420280457","3.35556960105896","3.367371082305908","2304","2304","2304"
"24","3.4591410756111145","3.454043388366699","3.4691247940063477","2400","2400","2400","3.3678229451179504","3.361128807067871","3.3736581802368164","2400","2400","2400"
"25","3.4651076793670654","3.460035562515259","3.475696086883545","2496","2496","2496","3.3742253184318542","3.3666255474090576","3.381460666656494","2496","2496","2496"
"26","3.470870614051819","3.4654507637023926","3.4810025691986084","2592","2592","2592","3.380815088748932","3.373326063156128","3.3865411281585693","2592","2592","2592"
"27","3.476533591747284","3.4709839820861816","3.4867658615112305","2688","2688","2688","3.3871124386787415","3.379601240158081","3.3933253288269043","2688","2688","2688"
