"train/epoch","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm__MAX","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MAX"
"0","0.03343160543590784","0.03293713927268982","0.03386150300502777","57","57","57","0.023631276097148657","0.02353627234697342","0.023726394400000572","57","57","57"
"1","0.042703243903815746","0.04048651084303856","0.04447213560342789","114","114","114","0.02472566580399871","0.024602100253105164","0.024917488917708397","114","114","114"
"2","0.054368019104003906","0.04959893971681595","0.056388575583696365","171","171","171","0.02634969400241971","0.02620537579059601","0.026614874601364136","171","171","171"
"3","0.07074176706373692","0.06544826179742813","0.07470093667507172","228","228","228","0.02737159002572298","0.02691769413650036","0.027681423351168633","228","228","228"
"4","0.08579441718757153","0.08213169127702713","0.08735902607440948","285","285","285","0.02838389528915286","0.02798018790781498","0.0289139524102211","285","285","285"
"5","0.09972642362117767","0.09491331875324249","0.10238028317689896","342","342","342","0.029143865685909986","0.028869912028312683","0.029619045555591583","342","342","342"
"6","0.11236706376075745","0.10615915805101395","0.11719683557748795","399","399","399","0.029991635121405125","0.029519185423851013","0.030480222776532173","399","399","399"
"7","0.12507548555731773","0.11772371828556061","0.1325754076242447","456","456","456","0.030983353033661842","0.030503321439027786","0.031244762241840363","456","456","456"
"8","0.1362980455160141","0.12657234072685242","0.14632347226142883","513","513","513","0.032000104896724224","0.03151753917336464","0.03231868892908096","513","513","513"
"9","0.14682527258992195","0.13535892963409424","0.16033466160297394","570","570","570","0.03302201349288225","0.03230753540992737","0.033544354140758514","570","570","570"
"10","0.1570970043540001","0.144072026014328","0.17178958654403687","627","627","627","0.03401897568255663","0.03292519971728325","0.034490928053855896","627","627","627"
"11","0.16613036394119263","0.15120995044708252","0.18123599886894226","684","684","684","0.034955485723912716","0.03357655555009842","0.03559260815382004","684","684","684"
"12","0.17450926080346107","0.1582746058702469","0.18856018781661987","741","741","741","0.03596173133701086","0.034576721489429474","0.0368787981569767","741","741","741"
"13","0.18287309631705284","0.16615921258926392","0.19586396217346191","798","798","798","0.03709049057215452","0.03542990982532501","0.03831397369503975","798","798","798"
"14","0.18986932560801506","0.17260053753852844","0.20169806480407715","855","855","855","0.03833731636404991","0.03664213418960571","0.04012446105480194","855","855","855"
"15","0.19570884108543396","0.1765953153371811","0.207357257604599","912","912","912","0.039401937276124954","0.03770778328180313","0.041689466685056686","912","912","912"
"16","0.20114666223526","0.17908519506454468","0.21231606602668762","969","969","969","0.040260492824018","0.03860462084412575","0.0427277535200119","969","969","969"
"17","0.2065993696451187","0.1825452744960785","0.2164534628391266","1026","1026","1026","0.04090540111064911","0.03906312584877014","0.043304890394210815","1026","1026","1026"
"18","0.20993121340870857","0.18664075434207916","0.22053493559360504","1083","1083","1083","0.04142690449953079","0.03932962194085121","0.04376797005534172","1083","1083","1083"
"19","0.21411896869540215","0.19253778457641602","0.22503922879695892","1140","1140","1140","0.041879475116729736","0.03990237042307854","0.044004857540130615","1140","1140","1140"
"20","0.21817030757665634","0.19704148173332214","0.22805316746234894","1197","1197","1197","0.04224688559770584","0.04029936343431473","0.04432549700140953","1197","1197","1197"
"21","0.2217102088034153","0.20151513814926147","0.23191021382808685","1254","1254","1254","0.0428006649017334","0.041101567447185516","0.04492487385869026","1254","1254","1254"
"22","0.2246205247938633","0.2023574262857437","0.23692606389522552","1311","1311","1311","0.043216890655457973","0.04155664145946503","0.045269567519426346","1311","1311","1311"
"23","0.22743432596325874","0.20636409521102905","0.23920544981956482","1368","1368","1368","0.04364215116947889","0.04207378625869751","0.0455729216337204","1368","1368","1368"
