"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX"
"0","0.06286964006721973","0.0628146380186081","0.06300690025091171","96","96","96","0.06287200190126896","0.06273096799850464","0.0629807710647583","96","96","96"
"1","0.0630305539816618","0.06290356069803238","0.06314188241958618","192","192","192","0.0630734134465456","0.06301234662532806","0.06312372535467148","192","192","192"
"2","0.06328688561916351","0.0631888210773468","0.06337858736515045","288","288","288","0.0633979607373476","0.06323917210102081","0.06357826292514801","288","288","288"
"3","0.06362577341496944","0.06342297792434692","0.06371653825044632","384","384","384","0.06367073021829128","0.06344175338745117","0.0639982745051384","384","384","384"
"4","0.06387750245630741","0.06364282965660095","0.06400293111801147","480","480","480","0.06393523328006268","0.06366580724716187","0.06421742588281631","480","480","480"
"5","0.0641147717833519","0.06387913227081299","0.06429697573184967","576","576","576","0.06412614695727825","0.06384622305631638","0.06449000537395477","576","576","576"
"6","0.06432858482003212","0.064055435359478","0.06460104137659073","672","672","672","0.06432110257446766","0.06406883150339127","0.06466107070446014","672","672","672"
"7","0.06454990804195404","0.06436213850975037","0.06480023264884949","768","768","768","0.0644918903708458","0.0642419382929802","0.06475616246461868","768","768","768"
"8","0.06470605917274952","0.06449677795171738","0.06493501365184784","864","864","864","0.06464570388197899","0.06438328325748444","0.06503012776374817","864","864","864"
"9","0.06491531617939472","0.06472863256931305","0.06512422114610672","960","960","960","0.06481209583580494","0.06438601016998291","0.06518615782260895","960","960","960"
"10","0.06502344273030758","0.06477275490760803","0.06526676565408707","1056","1056","1056","0.06496465764939785","0.06455272436141968","0.06532774865627289","1056","1056","1056"
"11","0.06517126969993114","0.06494675576686859","0.06538620591163635","1152","1152","1152","0.06504530273377895","0.06466183811426163","0.06535471230745316","1152","1152","1152"
"12","0.06529642827808857","0.06499002873897552","0.06552288681268692","1248","1248","1248","0.06521184928715229","0.06485769152641296","0.06550971418619156","1248","1248","1248"
"13","0.06541181541979313","0.06515340507030487","0.06559427082538605","1344","1344","1344","0.06534905731678009","0.06502704322338104","0.0657009556889534","1344","1344","1344"
"14","0.06557504460215569","0.06535443663597107","0.06573568284511566","1440","1440","1440","0.06544082053005695","0.06508277356624603","0.06575408577919006","1440","1440","1440"
"15","0.0657240953296423","0.06549409031867981","0.06583619117736816","1536","1536","1536","0.06551486812531948","0.0651920884847641","0.06583766639232635","1536","1536","1536"
"16","0.0658256933093071","0.06552007794380188","0.06599988043308258","1632","1632","1632","0.06560139171779156","0.06540948152542114","0.06579567492008209","1632","1632","1632"
"17","0.0659340675920248","0.0656120777130127","0.06607425957918167","1728","1728","1728","0.06567816995084286","0.06547881662845612","0.06587812304496765","1728","1728","1728"
"18","0.06600509397685528","0.06560426950454712","0.06625334918498993","1824","1824","1824","0.0657968707382679","0.06556351482868195","0.06606574356555939","1824","1824","1824"
"19","0.06611037999391556","0.06566625833511353","0.06631559133529663","1920","1920","1920","0.06587241776287556","0.06566517055034637","0.0661705955862999","1920","1920","1920"
