"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - test/pretrain_accuracy__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX"
"4","0.20814315352697094","0.17531120331950206","0.24813278008298756","480","480","480","0.008609958506224067","0.006431535269709543","0.01058091286307054","480","480","480"
"9","0.34942946058091284","0.3321576763485477","0.36182572614107883","960","960","960","0.0679460580912863","0.06597510373443984","0.07095435684647303","960","960","960"
"14","0.3994294605809129","0.39398340248962654","0.4053941908713693","1440","1440","1440","0.15347510373443982","0.1433609958506224","0.1755186721991701","1440","1440","1440"
"19","0.4299792531120332","0.42821576763485475","0.43091286307053944","1920","1920","1920","0.20357883817427386","0.19481327800829876","0.21887966804979253","1920","1920","1920"
"24","0.43537344398340244","0.38858921161825727","0.45726141078838173","2400","2400","2400","0.24626556016597512","0.22406639004149378","0.2595435684647303","2400","2400","2400"
"29","0.4726659751037344","0.4674273858921162","0.48008298755186724","2880","2880","2880","0.25363070539419086","0.25145228215767634","0.25663900414937757","2880","2880","2880"
"34","0.47748962655601657","0.4566390041493776","0.4931535269709544","3360","3360","3360","0.2868257261410788","0.27199170124481326","0.29647302904564315","3360","3360","3360"
"39","0.4825726141078838","0.470954356846473","0.4908713692946058","3840","3840","3840","0.3128630705394191","0.3074688796680498","0.32385892116182574","3840","3840","3840"
"44","0.4820539419087137","0.4612033195020747","0.5091286307053942","4320","4320","4320","0.33200207468879667","0.32510373443983404","0.34356846473029046","4320","4320","4320"
"49","0.49299792531120334","0.4657676348547718","0.5118257261410788","4800","4800","4800","0.3407676348547718","0.30850622406639006","0.3634854771784232","4800","4800","4800"
"54","0.5009336099585062","0.4782157676348548","0.5253112033195021","5280","5280","5280","0.3226141078838174","0.2688796680497925","0.3591286307053942","5280","5280","5280"
"59","0.5033195020746888","0.4943983402489627","0.520539419087137","5760","5760","5760","0.35119294605809126","0.32551867219917013","0.37572614107883817","5760","5760","5760"
"64","0.5113070539419087","0.48983402489626554","0.5242738589211619","6240","6240","6240","0.366597510373444","0.35767634854771785","0.3736514522821577","6240","6240","6240"
"69","0.5206950207468879","0.5145228215767634","0.5282157676348548","6720","6720","6720","0.3724585062240664","0.3616182572614108","0.3788381742738589","6720","6720","6720"
"74","0.5109439834024896","0.49979253112033195","0.516597510373444","7200","7200","7200","0.3770746887966805","0.3690871369294606","0.38464730290456434","7200","7200","7200"
"79","0.5255705394190872","0.5134854771784232","0.5344398340248963","7680","7680","7680","0.37780082987551866","0.3522821576763486","0.4016597510373444","7680","7680","7680"
"84","0.5360995850622406","0.5309128630705394","0.5475103734439835","8160","8160","8160","0.38558091286307056","0.3755186721991701","0.3977178423236514","8160","8160","8160"
"89","0.5354253112033196","0.5039419087136929","0.549585062240664","8640","8640","8640","0.39512448132780087","0.362448132780083","0.4219917012448133","8640","8640","8640"
