"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX"
"0","3.186107814311981","3.184368133544922","3.189105987548828","96","96","96","3.193346917629242","3.1900999546051025","3.196176290512085","96","96","96"
"1","3.221514105796814","3.2185702323913574","3.2267980575561523","192","192","192","3.220506250858307","3.2165122032165527","3.227856397628784","192","192","192"
"2","3.2445903420448303","3.2401647567749023","3.2512941360473633","288","288","288","3.230843245983124","3.2259538173675537","3.240406036376953","288","288","288"
"3","3.261728346347809","3.2571282386779785","3.2688369750976562","384","384","384","3.2364073991775513","3.230966567993164","3.245408058166504","384","384","384"
"4","3.279343008995056","3.27485990524292","3.2869668006896973","480","480","480","3.241949200630188","3.2357330322265625","3.2507972717285156","480","480","480"
"5","3.29544335603714","3.291749954223633","3.3034095764160156","576","576","576","3.248178243637085","3.242633104324341","3.255631446838379","576","576","576"
"6","3.3102351427078247","3.3060803413391113","3.3182201385498047","672","672","672","3.256044924259186","3.250579833984375","3.2635481357574463","672","672","672"
"7","3.323317527770996","3.3189072608947754","3.3317441940307617","768","768","768","3.2643945813179016","3.2587900161743164","3.2712583541870117","768","768","768"
"8","3.335980176925659","3.331786632537842","3.344731330871582","864","864","864","3.273419439792633","3.2685842514038086","3.2801475524902344","864","864","864"
"9","3.346923053264618","3.34291410446167","3.3560287952423096","960","960","960","3.282979130744934","3.276796817779541","3.2904090881347656","960","960","960"
"10","3.357072174549103","3.3530759811401367","3.36596417427063","1056","1056","1056","3.292770504951477","3.286771297454834","3.300124168395996","1056","1056","1056"
"11","3.367073118686676","3.3628621101379395","3.375807285308838","1152","1152","1152","3.302977442741394","3.2971065044403076","3.3099119663238525","1152","1152","1152"
"12","3.3762267231941223","3.3718247413635254","3.3852994441986084","1248","1248","1248","3.31293922662735","3.3069515228271484","3.3199551105499268","1248","1248","1248"
"13","3.384747087955475","3.380474805831909","3.393559217453003","1344","1344","1344","3.3228867053985596","3.316636085510254","3.3298635482788086","1344","1344","1344"
"14","3.39271342754364","3.388059616088867","3.4019839763641357","1440","1440","1440","3.332404613494873","3.3265037536621094","3.3387837409973145","1440","1440","1440"
"15","3.4004493355751038","3.3954272270202637","3.4103000164031982","1536","1536","1536","3.3416677117347717","3.336107015609741","3.3477706909179688","1536","1536","1536"
"16","3.4079684615135193","3.403524398803711","3.4177820682525635","1632","1632","1632","3.3506696224212646","3.345418930053711","3.357128143310547","1632","1632","1632"
"17","3.4148423075675964","3.409635305404663","3.424999475479126","1728","1728","1728","3.35878187417984","3.353618621826172","3.3650031089782715","1728","1728","1728"
"18","3.4216848015785217","3.4175071716308594","3.4309628009796143","1824","1824","1824","3.3668378591537476","3.363128423690796","3.3732292652130127","1824","1824","1824"
"19","3.4284958243370056","3.4237966537475586","3.4385006427764893","1920","1920","1920","3.3748189210891724","3.37080454826355","3.382068634033203","1920","1920","1920"
