"train/epoch","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX"
"0","0.06350716017186642","0.06340095400810242","0.0637347549200058","96","96","96","0.06364166736602783","0.06351619958877563","0.06373661756515503","96","96","96"
"1","0.06635851971805096","0.0657181441783905","0.06708203256130219","192","192","192","0.0668521374464035","0.06639523804187775","0.06746667623519897","192","192","192"
"2","0.06868462078273296","0.06781011819839478","0.06950658559799194","288","288","288","0.06928678043186665","0.06847371906042099","0.07005025446414948","288","288","288"
"3","0.06973925605416298","0.06904391944408417","0.0705275908112526","384","384","384","0.07106735743582249","0.07022768259048462","0.07203658670186996","384","384","384"
"4","0.07114067301154137","0.07050952315330505","0.07173369824886322","480","480","480","0.07312238030135632","0.0725736916065216","0.07385063171386719","480","480","480"
"5","0.07242032513022423","0.07117374241352081","0.07318638265132904","576","576","576","0.07543369010090828","0.074742391705513","0.07667997479438782","576","576","576"
"6","0.07411297783255577","0.07284024357795715","0.07492894679307938","672","672","672","0.07823753915727139","0.07737966626882553","0.07953247427940369","672","672","672"
"7","0.0760715939104557","0.0749766081571579","0.0773557722568512","768","768","768","0.08101461082696915","0.07998639345169067","0.08204527199268341","768","768","768"
"8","0.0782640278339386","0.07738421857357025","0.07956227660179138","864","864","864","0.08389733359217644","0.08259072154760361","0.08463549613952637","864","864","864"
"9","0.0803494993597269","0.07968106865882874","0.08158192038536072","960","960","960","0.08664355427026749","0.08496272563934326","0.08770959079265594","960","960","960"
"10","0.08236679248511791","0.08191920071840286","0.08351670205593109","1056","1056","1056","0.0892666894942522","0.08769228309392929","0.08999110758304596","1056","1056","1056"
"11","0.08433734625577927","0.08369282633066177","0.08589023351669312","1152","1152","1152","0.09190607257187366","0.09034616500139236","0.09264975786209106","1152","1152","1152"
"12","0.0863690935075283","0.08525510132312775","0.08813222497701645","1248","1248","1248","0.0943529736250639","0.09285339713096619","0.09529684484004974","1248","1248","1248"
"13","0.08840646967291832","0.08676883578300476","0.090657077729702","1344","1344","1344","0.09692627750337124","0.09525401890277863","0.09801989048719406","1344","1344","1344"
"14","0.09059266932308674","0.08895932137966156","0.09348511695861816","1440","1440","1440","0.09934030659496784","0.09770241379737854","0.10053853690624237","1440","1440","1440"
"15","0.09225291945040226","0.09025826305150986","0.09570527076721191","1536","1536","1536","0.1015039961785078","0.09937784075737","0.10276445001363754","1536","1536","1536"
