"train/epoch","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX"
"0","3.030523180961609","3.0303194522857666","3.030673027038574","96","96","96","3.030608057975769","3.030411720275879","3.0308189392089844","96","96","96"
"1","3.031976103782654","3.0316572189331055","3.032426357269287","192","192","192","3.031247913837433","3.030867338180542","3.031393051147461","192","192","192"
"2","3.0343268513679504","3.033919334411621","3.034734010696411","288","288","288","3.0330063104629517","3.0321762561798096","3.033379554748535","288","288","288"
"3","3.037815570831299","3.0367612838745117","3.0394768714904785","384","384","384","3.037691116333008","3.036776542663574","3.0389912128448486","384","384","384"
"4","3.0438104271888733","3.0422072410583496","3.0463247299194336","480","480","480","3.0450074076652527","3.0427613258361816","3.0476579666137695","480","480","480"
"5","3.0521669387817383","3.0501699447631836","3.0547683238983154","576","576","576","3.0548247694969177","3.0512466430664062","3.0591306686401367","576","576","576"
"6","3.0623618960380554","3.0604758262634277","3.0656442642211914","672","672","672","3.0671406984329224","3.0633769035339355","3.072420835494995","672","672","672"
"7","3.073637366294861","3.0715243816375732","3.0771377086639404","768","768","768","3.080365002155304","3.0762486457824707","3.086709976196289","768","768","768"
"8","3.0855751037597656","3.0829596519470215","3.090482234954834","864","864","864","3.094681143760681","3.0911576747894287","3.1015267372131348","864","864","864"
"9","3.0978991389274597","3.0949113368988037","3.103107452392578","960","960","960","3.1086848974227905","3.1055684089660645","3.115478515625","960","960","960"
